date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:27	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ead535b173fe75ad9d7731040ba83398%22	https://connect.facebook.net/fr_FR/sdk.js	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/connect.facebook.net/fr_FR/sdk.js	(from https://www.weeassur.fr/)
15:03:27	92350/92350	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:04:21%20GMT	https://www.weeassur.fr/images/actuWeeAssur.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/actuWeeAssur.jpg	(from https://www.weeassur.fr/)
15:03:28	18745/18745	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Dec%202021%2002:03:30%20GMT	https://www.weeassur.fr/images/logo0001.png	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/logo0001.png	(from https://www.weeassur.fr/)
15:03:28	8636/8636	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2013%20Dec%202021%2002:00:34%20GMT	https://www.weeassur.fr/js/vendor/modernizr-3.5.0.min.js	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/js/vendor/modernizr-3.5.0.min.js	(from https://www.weeassur.fr/)
15:03:28	89432/89432	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2013%20Dec%202021%2001:59:55%20GMT	https://www.weeassur.fr/js/jquery.min.js	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/js/jquery.min.js	(from https://www.weeassur.fr/)
15:03:28	83938/83938	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2013%20Dec%202021%2001:59:55%20GMT	https://www.weeassur.fr/js/bootstrap.bundle.min.js	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/js/bootstrap.bundle.min.js	(from https://www.weeassur.fr/)
15:03:29	177311/177311	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2013%20Dec%202021%2001:59:57%20GMT	https://www.weeassur.fr/js/plugin.min.js	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/js/plugin.min.js	(from https://www.weeassur.fr/)
15:03:29	224/224	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2013%20Dec%202021%2002:32:34%20GMT	https://www.weeassur.fr/js/preloader.js	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/js/preloader.js	(from https://www.weeassur.fr/)
15:03:29	7990/7990	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2013%20Dec%202021%2002:00:14%20GMT	https://www.weeassur.fr/js/main.js	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/js/main.js	(from https://www.weeassur.fr/)
15:03:29	14549/14549	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Mar%202024%2014:03:30%20GMT	https://www.weeassur.fr/css/owl.video.play.png	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/css/owl.video.play.png	(from https://www.weeassur.fr/css/plugin.min.css)
15:03:30	123848/123848	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Dec%202021%2002:30:09%20GMT	https://www.weeassur.fr/images/shape/shape-12.svg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/shape/shape-12.svg	(from https://www.weeassur.fr/css/style.css)
